id,carat,cut,color,clarity,depth,table,x,y,z
92,0.57,Premium,E,SI1,58.9,59.0,5.41,5.35,3.17
93,0.93,Very Good,G,SI2,62.7,57.0,6.21,6.26,3.91
94,1.01,Good,D,IF,63.2,59.0,6.34,6.38,4.02
95,0.76,Very Good,H,SI1,63.0,58.0,5.78,5.8,3.65
96,1.01,Very Good,E,VS2,61.9,55.0,6.38,6.44,3.97
97,0.59,Ideal,F,SI2,61.7,54.0,5.38,5.44,3.34
98,0.3,Premium,D,SI2,61.2,60.0,4.31,4.28,2.63
99,0.35,Premium,F,VS2,61.5,59.0,4.55,4.53,2.79
100,1.02,Very Good,E,VVS1,60.2,60.0,6.39,6.54,3.89
101,1.52,Ideal,F,SI1,61.5,55.0,7.41,7.44,4.57
102,0.41,Premium,E,SI1,62.4,58.0,4.77,4.75,2.97
103,1.2,Ideal,D,SI1,61.1,56.0,6.86,6.89,4.2
104,2.01,Very Good,E,SI2,62.0,61.0,8.04,8.1,5.0
105,1.0,Very Good,E,SI1,63.3,57.0,6.28,6.32,3.99
106,0.9,Good,G,SI2,58.5,61.0,6.28,6.33,3.69
107,1.2,Ideal,I,VS1,62.5,55.0,6.76,6.81,4.24
108,0.35,Ideal,H,VVS2,62.5,57.0,4.54,4.48,2.82
109,1.55,Premium,G,SI1,59.8,59.0,7.47,7.45,4.46
110,0.74,Very Good,D,VS2,59.8,58.0,5.9,5.94,3.54
111,0.26,Very Good,F,VVS2,59.2,60.0,4.19,4.22,2.49
112,0.49,Ideal,H,SI2,60.7,56.0,5.13,5.18,3.13
113,0.61,Ideal,H,VVS1,60.3,56.0,5.52,5.55,3.34
114,1.15,Premium,G,SI2,62.7,58.0,6.71,6.69,4.2
115,0.32,Very Good,E,VVS1,59.0,61.0,4.44,4.47,2.63
116,1.21,Ideal,G,VVS1,61.4,58.0,6.85,6.89,4.22
117,1.0,Good,E,VS2,63.3,59.0,6.29,6.34,4.0
118,1.02,Ideal,I,SI1,62.1,56.0,6.44,6.39,3.98
119,1.58,Premium,G,VS1,60.8,58.0,7.58,7.52,4.59
120,0.56,Ideal,G,VS1,62.0,56.0,5.28,5.3,3.28
121,0.3,Ideal,E,VS2,61.5,55.0,4.31,4.28,2.64
122,0.97,Ideal,J,VS1,61.3,57.0,6.37,6.41,3.92
123,0.3,Ideal,G,VVS2,62.1,55.0,4.32,4.35,2.69
124,0.31,Ideal,H,VS1,61.6,54.8,4.35,4.37,2.69
125,0.76,Premium,E,SI2,61.5,58.0,5.86,5.81,3.59
126,0.35,Premium,F,SI1,62.3,58.0,4.49,4.53,2.81
127,1.14,Ideal,J,VS1,61.5,57.0,6.7,6.73,4.13
128,0.24,Very Good,E,VVS2,63.6,54.0,3.96,4.0,2.53
129,1.51,Very Good,H,SI1,60.6,59.0,7.41,7.45,4.5
130,0.43,Ideal,I,VVS1,60.6,57.0,4.88,4.94,2.97
131,0.41,Good,E,SI1,63.6,56.0,4.7,4.73,3.0
132,0.33,Very Good,H,SI1,63.0,56.0,4.41,4.42,2.78
133,1.51,Ideal,J,VS2,61.1,57.0,7.36,7.3,4.48
134,0.55,Premium,F,SI1,60.7,57.0,5.3,5.27,3.21
135,1.09,Premium,I,VS2,61.3,58.0,6.63,6.58,4.05
136,0.31,Ideal,I,VVS1,61.6,55.0,4.36,4.41,2.7
137,0.4,Very Good,E,VVS2,63.7,59.0,4.66,4.69,2.98
138,1.0,Ideal,D,SI1,61.7,57.0,6.39,6.42,3.95
139,1.35,Ideal,J,VS2,61.4,57.0,7.13,7.1,4.37
140,1.11,Very Good,G,VS2,62.2,57.0,6.55,6.6,4.09
141,2.0,Fair,F,I1,66.1,57.0,7.84,7.7,5.14
142,0.9,Good,G,SI2,63.3,59.0,6.07,6.12,3.86
143,1.01,Very Good,E,SI2,60.4,60.0,6.48,6.57,3.94
144,0.32,Ideal,D,VVS2,61.7,55.0,4.39,4.42,2.72
145,0.33,Premium,G,VS1,59.2,59.0,4.51,4.54,2.68
146,2.09,Very Good,I,SI2,63.0,57.0,8.09,8.13,5.11
147,1.31,Ideal,H,VS1,62.4,56.0,7.0,6.98,4.36
148,2.0,Good,E,SI2,57.6,63.0,8.2,8.16,4.73
149,0.55,Ideal,E,SI1,61.7,57.0,5.23,5.27,3.24
150,0.31,Premium,G,VS1,62.1,58.0,4.35,4.31,2.69
151,1.08,Ideal,H,SI1,62.8,57.0,6.55,6.51,4.1
152,1.08,Premium,E,SI1,59.6,60.0,6.73,6.66,3.99
153,1.04,Ideal,I,SI2,62.4,57.0,6.48,6.46,4.04
154,1.07,Ideal,E,VVS2,61.8,54.0,6.56,6.61,4.07
155,0.54,Premium,G,VS1,61.1,59.0,5.2,5.24,3.19
156,0.9,Very Good,G,VS2,63.5,62.0,6.07,6.11,3.87
157,0.4,Ideal,G,SI2,60.6,56.0,4.82,4.79,2.91
158,1.3,Ideal,H,SI1,62.2,56.0,7.03,6.98,4.36
159,1.02,Premium,F,SI2,60.4,60.0,6.53,6.49,3.93
160,0.51,Very Good,D,SI1,62.2,58.0,5.08,5.11,3.17
161,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12
162,0.32,Ideal,I,VS2,60.3,56.0,4.44,4.45,2.68
163,0.31,Ideal,I,SI1,62.5,56.0,4.35,4.29,2.7
164,1.02,Ideal,I,VS2,60.8,57.0,6.42,6.5,3.93
165,0.3,Premium,F,SI2,62.2,58.0,4.33,4.22,2.66
166,1.56,Premium,G,VS1,60.2,60.0,7.47,7.52,4.51
167,1.5,Very Good,F,VS2,63.4,61.0,7.12,7.08,4.5
168,1.0,Very Good,H,SI2,63.4,61.0,6.33,6.29,4.0
169,0.56,Premium,I,VVS1,60.6,59.0,5.33,5.29,3.22
170,1.14,Very Good,J,SI1,63.3,55.0,6.6,6.67,4.2
171,0.52,Fair,J,VS2,65.3,56.0,5.05,5.0,3.28
172,0.4,Very Good,E,VS2,62.0,57.0,4.66,4.7,2.9
173,0.7,Fair,D,SI2,71.6,55.0,5.47,5.28,3.85
174,0.36,Ideal,E,VS2,60.2,56.0,4.65,4.62,2.79
175,1.5,Ideal,G,SI2,63.0,57.0,7.31,7.2,4.57
176,0.5,Very Good,G,VS2,62.8,56.0,5.05,5.08,3.18
177,0.31,Very Good,F,VS2,61.4,62.0,4.32,4.34,2.66
178,0.31,Very Good,G,SI1,63.2,57.0,4.3,4.27,2.71
179,0.7,Very Good,G,SI2,58.2,63.0,5.82,5.79,3.38
180,1.05,Ideal,H,SI1,62.4,57.0,6.49,6.52,4.06
181,1.32,Ideal,G,SI2,62.9,57.0,6.98,6.94,4.38
182,2.15,Ideal,H,SI2,60.3,59.0,8.34,8.41,5.05
183,0.33,Premium,E,SI1,59.6,60.0,4.51,4.48,2.68
184,1.4,Ideal,J,VS2,62.2,57.0,7.17,7.08,4.43
185,1.5,Premium,H,SI2,61.1,59.0,7.41,7.35,4.51
186,0.5,Premium,H,VS2,60.9,59.0,5.14,5.11,3.12
187,0.56,Ideal,I,VVS1,62.0,57.0,5.29,5.33,3.29
188,0.33,Ideal,H,VS1,62.6,56.0,4.39,4.42,2.75
189,1.12,Ideal,F,SI2,61.6,57.0,6.68,6.66,4.11
190,1.21,Premium,H,SI1,62.8,59.0,6.72,6.68,4.21
191,0.58,Ideal,F,VS1,60.6,55.0,5.41,5.48,3.3
192,0.71,Good,D,VS2,63.6,54.0,5.7,5.75,3.64
193,0.79,Very Good,E,SI1,60.4,59.0,5.97,5.99,3.61
194,0.5,Premium,E,VS2,62.9,59.0,5.09,5.06,3.19
195,1.22,Very Good,H,VS1,62.4,59.0,6.91,6.85,4.29
196,0.33,Premium,E,VS2,62.0,59.0,4.39,4.41,2.73
197,0.3,Ideal,D,SI2,61.1,55.0,4.35,4.32,2.65
198,1.2,Very Good,H,VS1,60.2,57.0,6.88,6.95,4.16
199,0.9,Ideal,E,SI1,61.7,57.0,6.18,6.24,3.83
200,0.32,Very Good,D,VVS1,61.6,54.0,4.4,4.43,2.72
201,2.01,Good,I,SI1,64.1,62.0,7.94,7.85,5.06
202,1.52,Premium,E,VS1,60.6,58.0,7.44,7.38,4.49
203,0.54,Ideal,G,VS1,61.0,57.0,5.25,5.28,3.21
204,1.37,Premium,H,VS1,62.9,58.0,7.12,7.07,4.46
205,0.72,Ideal,G,VS1,61.8,56.0,5.74,5.76,3.55
206,0.36,Premium,H,VVS2,60.6,58.0,4.58,4.6,2.78
207,0.31,Premium,E,VVS2,61.4,58.0,4.36,4.33,2.67
208,1.06,Ideal,F,I1,62.1,55.0,6.54,6.57,4.07
209,1.1,Ideal,H,VS1,62.3,55.0,6.57,6.61,4.1
210,1.5,Fair,H,SI1,65.0,57.0,7.1,7.06,4.6
211,1.91,Fair,H,SI2,64.6,56.0,7.76,7.7,4.99
212,1.06,Premium,E,VS1,63.0,58.0,6.49,6.46,4.08
213,2.03,Very Good,I,SI1,62.3,60.0,8.01,8.07,5.01
214,0.5,Very Good,E,SI2,62.8,55.0,5.05,5.08,3.18
215,0.71,Premium,H,SI2,62.4,56.0,5.7,5.64,3.54
216,1.0,Ideal,E,SI2,62.3,57.0,6.33,6.28,3.93
217,1.02,Premium,F,SI2,61.1,59.0,6.41,6.45,3.93
218,0.9,Premium,I,SI1,62.1,59.0,6.2,6.17,3.84
219,1.55,Ideal,J,SI1,61.7,54.0,7.47,7.5,4.62
220,0.3,Ideal,H,SI1,60.9,58.0,4.31,4.33,2.63
221,0.7,Ideal,J,SI1,62.1,54.0,5.72,5.74,3.56
222,1.02,Ideal,H,SI1,61.8,57.0,6.43,6.46,3.98
223,1.08,Premium,H,SI2,61.2,58.0,6.62,6.58,4.04
224,1.3,Premium,G,SI2,63.0,59.0,6.97,6.9,4.37
225,0.3,Very Good,G,VVS2,62.9,55.0,4.28,4.31,2.7
226,1.5,Good,J,SI2,63.6,57.0,7.3,7.23,4.62
227,1.01,Good,E,SI1,64.2,56.0,6.31,6.27,4.04
228,0.3,Good,J,SI1,63.8,56.0,4.26,4.23,2.71
229,0.72,Ideal,F,VS1,61.0,55.0,5.77,5.81,3.53
230,0.9,Premium,D,SI2,62.9,56.0,6.19,6.09,3.86
231,0.43,Ideal,H,VS2,62.3,54.0,4.85,4.88,3.03
232,0.76,Premium,E,SI1,61.8,58.0,5.82,5.86,3.61
233,0.42,Very Good,E,SI1,62.7,57.0,4.77,4.83,3.01
234,1.21,Very Good,F,SI1,59.4,56.0,6.95,7.0,4.14
235,0.9,Very Good,H,VS2,62.6,58.0,6.14,6.22,3.87
236,2.14,Ideal,I,SI2,61.9,56.0,8.26,8.22,5.1
237,2.3,Premium,J,SI1,59.6,59.0,8.61,8.56,5.12
238,0.5,Ideal,F,SI1,61.5,55.0,5.16,5.12,3.16
239,0.7,Fair,E,SI1,65.1,56.0,5.49,5.41,3.55
240,0.41,Premium,E,VVS1,62.2,58.0,4.75,4.77,2.96
241,0.5,Good,H,SI1,64.5,58.0,4.97,4.99,3.21
242,1.04,Premium,D,VS1,60.5,59.0,6.62,6.58,3.99
243,1.11,Ideal,F,VS2,61.9,55.0,6.62,6.66,4.11
244,0.31,Good,H,VS1,64.1,55.0,4.25,4.27,2.73
245,0.81,Premium,H,SI2,61.6,62.0,6.0,5.92,3.67
246,0.7,Premium,D,SI1,60.8,58.0,5.79,5.66,3.48
247,1.06,Ideal,G,VS2,61.9,54.0,6.54,6.58,4.06
248,1.02,Good,I,SI1,64.2,53.0,6.3,6.26,4.03
249,0.33,Premium,D,SI2,60.7,56.0,4.46,4.43,2.7
250,0.5,Ideal,G,VVS1,62.7,57.0,5.07,5.1,3.19
251,1.59,Very Good,H,SI1,62.2,58.0,7.45,7.48,4.64
252,0.64,Ideal,I,VS1,60.8,54.0,5.55,5.6,3.39
253,1.09,Premium,D,SI2,61.2,60.0,6.64,6.6,4.05
254,0.81,Premium,H,SI2,60.0,59.0,6.03,5.97,3.62
255,1.0,Very Good,F,VS1,58.4,63.0,6.58,6.47,3.81
256,1.51,Premium,I,SI1,61.7,60.0,7.31,7.27,4.5
257,0.9,Very Good,G,SI1,62.9,56.0,6.11,6.17,3.86
258,0.34,Ideal,H,VS1,62.7,55.0,4.48,4.51,2.82
259,1.24,Good,G,VS1,60.2,63.0,6.96,6.99,4.2
260,0.9,Fair,D,SI1,65.7,65.0,6.06,5.94,3.94
261,1.23,Ideal,G,SI2,58.8,60.0,7.01,7.08,4.14
262,1.1,Ideal,G,SI1,62.2,56.6,6.56,6.6,4.09
263,1.02,Very Good,J,SI2,62.9,59.0,6.34,6.41,4.01
264,0.32,Premium,I,VS2,62.6,58.0,4.42,4.37,2.75
265,1.61,Very Good,E,SI1,62.3,57.0,7.43,7.47,4.64
266,0.32,Premium,G,VS2,59.9,57.0,4.51,4.47,2.69
267,1.51,Ideal,G,SI2,62.3,56.0,7.31,7.37,4.57
268,0.77,Very Good,G,VVS1,62.7,54.0,5.84,5.89,3.67
269,0.31,Ideal,E,IF,61.0,57.0,4.36,4.39,2.67
270,1.5,Fair,H,I1,69.3,61.0,6.99,6.81,4.78
271,0.27,Very Good,E,SI1,61.2,57.0,4.2,4.23,2.58
272,0.7,Fair,G,VS1,65.2,57.0,5.56,5.52,3.61
273,0.71,Premium,G,SI2,60.6,59.0,5.78,5.74,3.49
274,0.7,Ideal,G,VS1,61.4,55.0,5.71,5.76,3.53
275,0.51,Ideal,I,VVS2,61.6,54.0,5.15,5.18,3.18
276,0.56,Very Good,E,VVS2,60.3,57.0,5.33,5.37,3.23
277,0.53,Ideal,G,VVS1,61.6,57.0,5.2,5.22,3.21
278,0.71,Premium,G,SI1,60.4,59.0,5.81,5.75,3.49
279,1.0,Premium,I,SI1,60.5,59.0,6.54,6.49,3.94
280,0.3,Ideal,F,VVS1,61.7,57.0,4.28,4.31,2.65
281,0.7,Ideal,F,SI1,61.7,54.0,5.72,5.75,3.54
282,0.41,Ideal,G,VS2,62.2,57.0,4.74,4.71,2.94
283,1.07,Premium,F,VS2,62.4,57.0,6.55,6.5,4.07
284,1.21,Ideal,H,VS2,62.6,55.0,6.84,6.78,4.26
285,1.24,Ideal,D,SI1,61.9,56.0,6.9,6.87,4.26
286,0.4,Ideal,F,VVS2,61.7,56.0,4.74,4.72,2.92
287,1.01,Very Good,G,SI1,60.2,58.0,6.5,6.59,3.94
288,0.54,Premium,E,VS2,60.7,56.0,5.32,5.29,3.22
289,0.55,Ideal,H,SI2,62.6,56.0,5.24,5.27,3.29
290,0.31,Ideal,G,IF,62.1,54.0,4.37,4.39,2.72
291,0.52,Ideal,D,VS2,62.7,53.0,5.14,5.17,3.23
292,0.25,Very Good,F,VS1,61.2,59.0,4.02,4.05,2.47
293,0.71,Good,E,SI2,57.5,58.0,5.91,5.89,3.39
294,0.73,Very Good,H,VS1,60.8,57.0,5.8,5.83,3.54
295,1.62,Ideal,I,VS2,62.4,57.0,7.45,7.51,4.67
296,0.53,Very Good,E,SI2,63.4,56.0,5.18,5.16,3.28
297,1.32,Ideal,G,VVS2,62.3,57.0,6.96,7.04,4.36
298,0.52,Premium,E,VS2,60.3,60.0,5.21,5.17,3.13
299,0.79,Fair,G,SI1,65.3,76.0,5.52,5.13,3.35
300,0.37,Very Good,G,IF,61.8,56.0,4.6,4.64,2.85
301,1.01,Good,H,SI2,65.7,60.0,6.17,6.19,4.06
302,0.4,Good,E,SI1,63.5,58.0,4.65,4.67,2.96
303,0.41,Very Good,F,VS2,59.4,60.0,4.85,4.89,2.89
304,0.34,Ideal,E,VS1,61.2,55.0,4.51,4.54,2.77
305,1.61,Ideal,H,VS2,61.8,56.0,7.48,7.52,4.63
306,0.75,Ideal,G,VVS2,61.3,55.0,5.85,5.89,3.59
307,0.33,Ideal,G,IF,61.7,56.0,4.47,4.51,2.77
308,1.1,Ideal,H,VS2,60.5,57.0,6.73,6.7,4.06
309,0.92,Good,D,SI2,60.3,61.0,6.29,6.38,3.82
310,1.35,Ideal,F,SI2,62.9,56.0,7.05,7.03,4.43
311,0.31,Ideal,F,VVS1,61.4,55.0,4.37,4.39,2.69
312,0.41,Very Good,E,VVS1,62.9,58.0,4.72,4.75,2.98
313,2.0,Premium,G,SI2,60.8,55.0,8.09,7.95,4.88
314,0.51,Good,H,SI2,56.7,60.0,5.38,5.35,3.04
315,1.54,Very Good,I,VS1,61.1,63.0,7.43,7.36,4.52
316,0.79,Ideal,H,VS2,62.5,57.0,5.91,5.93,3.7
317,0.51,Very Good,E,SI1,61.4,58.0,5.09,5.14,3.14
318,0.3,Ideal,D,VS2,62.4,55.0,4.32,4.3,2.69
319,1.01,Premium,E,IF,62.6,58.0,6.44,6.37,4.01
320,0.51,Ideal,G,SI1,61.7,54.0,5.14,5.2,3.19
321,0.41,Premium,D,SI1,59.6,59.0,4.82,4.85,2.88
322,1.51,Ideal,H,SI2,62.3,58.0,7.27,7.33,4.55
323,1.2,Premium,G,VS1,62.0,58.0,6.76,6.73,4.18
324,0.26,Ideal,F,VS1,62.1,54.0,4.12,4.13,2.56
325,1.77,Very Good,I,VS2,60.2,58.0,7.88,7.83,4.73
326,1.51,Premium,H,VS2,60.6,58.0,7.42,7.36,4.48
327,0.41,Very Good,D,VS2,62.1,56.0,4.76,4.77,2.96
328,1.71,Very Good,I,SI2,62.7,58.0,7.59,7.54,4.74
329,0.72,Very Good,D,VS2,62.6,59.0,5.69,5.72,3.57
330,0.37,Premium,E,SI1,59.3,58.0,4.75,4.73,2.81
331,0.9,Ideal,G,SI1,61.6,57.0,6.17,6.24,3.82
332,0.3,Premium,J,SI2,59.3,61.0,4.43,4.38,2.61
333,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04
334,0.32,Ideal,G,VS2,60.3,57.0,4.46,4.43,2.68
335,0.41,Ideal,D,VS1,61.3,54.0,4.83,4.8,2.95
336,2.02,Ideal,I,SI1,61.9,58.0,8.07,8.18,5.03
337,1.9,Ideal,I,SI2,60.9,55.0,8.0,8.06,4.89
338,0.41,Very Good,H,SI1,62.6,59.0,4.72,4.77,2.97
339,0.4,Good,G,SI2,63.1,59.0,4.65,4.7,2.95
340,0.41,Premium,G,VS2,61.4,59.0,4.79,4.75,2.93
341,0.43,Ideal,J,VS1,61.9,55.5,4.81,4.84,2.99
342,0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51
343,0.79,Ideal,D,SI2,62.8,57.0,5.9,5.85,3.69
344,0.37,Very Good,H,VS1,59.8,59.0,4.66,4.7,2.8
345,1.28,Good,I,VS2,58.2,64.0,7.09,7.03,4.11
346,1.27,Ideal,G,SI2,58.8,56.0,7.16,7.06,4.18
347,0.43,Ideal,I,VS2,62.1,57.0,4.83,4.86,3.01
348,0.7,Very Good,E,SI1,60.3,58.0,5.73,5.85,3.49
349,1.53,Ideal,J,SI1,62.2,58.0,7.35,7.37,4.58
350,0.59,Ideal,G,VS2,62.1,57.0,5.36,5.39,3.34
351,1.01,Premium,F,VS1,61.3,58.0,6.52,6.44,3.97
352,1.03,Ideal,D,VS1,61.5,57.0,6.48,6.52,4.0
353,0.31,Very Good,H,VVS2,62.6,58.0,4.28,4.31,2.69
354,0.57,Premium,F,SI1,62.1,59.0,5.31,5.28,3.29
355,0.38,Ideal,D,VS1,62.0,55.0,4.64,4.68,2.89
356,0.3,Ideal,E,VS1,60.7,57.0,4.31,4.36,2.63
357,0.71,Very Good,I,SI1,60.2,58.0,5.76,5.83,3.49
358,0.79,Very Good,G,SI1,60.6,57.0,5.98,6.06,3.65
359,1.01,Very Good,I,SI1,63.2,54.0,6.41,6.35,4.03
360,0.76,Very Good,G,VS2,59.8,58.0,5.92,5.96,3.55
361,1.5,Premium,I,VVS2,61.4,58.0,7.38,7.32,4.51
362,0.27,Good,E,VS1,57.5,63.0,4.24,4.28,2.45
363,1.22,Ideal,H,SI2,61.1,57.0,6.9,5.92,4.22
364,0.55,Ideal,G,VVS1,60.0,56.0,5.35,5.39,3.21
365,0.31,Ideal,J,VVS2,61.8,54.0,4.38,4.39,2.71
366,0.83,Very Good,D,SI1,63.5,54.0,5.98,5.95,3.79
367,0.34,Premium,G,IF,60.5,58.0,4.47,4.52,2.72
368,1.09,Premium,H,SI2,62.0,57.0,6.61,6.55,4.08
369,0.52,Good,G,SI1,63.3,55.0,5.07,5.1,3.22
370,1.5,Very Good,D,VS2,62.4,57.0,7.2,7.25,4.51
371,0.42,Ideal,D,SI2,62.4,57.0,4.81,4.78,2.99
372,1.76,Premium,E,SI1,60.5,58.0,7.93,7.84,4.77
373,0.3,Premium,D,SI1,59.7,59.0,4.34,4.37,2.6
374,0.47,Ideal,F,VVS1,61.6,56.0,5.0,5.02,3.09
375,0.59,Very Good,F,SI1,63.1,57.0,5.39,5.36,3.39
376,0.41,Premium,G,VVS2,61.6,58.0,4.8,4.74,2.94
377,0.9,Premium,E,SI2,61.7,58.0,6.18,6.11,3.79
378,0.4,Good,H,SI2,63.7,59.0,4.69,4.64,2.97
379,1.59,Very Good,I,SI2,61.9,58.0,7.46,7.5,4.63
